userId,movie
1,"Amazing Panda Adventure, The (1995)"
1,Tommy Boy (1995)
1,"Iron Giant, The (1999)"
1,"Kid in King Arthur's Court, A (1995)"
1,Before Sunrise (1995)
2,Sense and Sensibility (1995)
2,Monty Python and the Holy Grail (1975)
2,"Circle, The (Dayereh) (2000)"
2,From Dusk Till Dawn (1996)
2,Heavenly Creatures (1994)
3,Bulworth (1998)
3,"Jerk, The (1979)"
3,"O Brother, Where Art Thou? (2000)"
3,Ladyhawke (1985)
3,In the Name of the Father (1993)
4,Predator (1987)
4,Platoon (1986)
4,With Honors (1994)
4,Gladiator (2000)
4,Interstellar (2014)
5,Stand by Me (1986)
5,"Birdcage, The (1996)"
5,Shaft (1971)
5,Saturn 3 (1980)
5,With Honors (1994)
